date,description,amount,category,merchant
2026-01-02,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-01-02,Deutschlandticket,-49.00,transport,BVG
2026-01-03,Wocheneinkauf,-43.87,food_groceries,REWE
2026-01-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-01-04,Flat white und Croissant,-6.20,food_delivery,The Barn
2026-01-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-01-05,Cappuccino im Cafe,-3.80,food_delivery,Bonanza Coffee Heroes
2026-01-06,Doener,-7.50,food_delivery,Mustafas Gemuesekebap
2026-01-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-01-08,Broetchen und Brot,-4.60,food_groceries,Zeit fuer Brot
2026-01-08,Rundfunkbeitrag Q1,-55.08,utilities,ARD ZDF Deutschlandradio
2026-01-09,Abendessen mit Freunden,-38.50,entertainment,Lokal Restaurant
2026-01-10,Kinoticket,-13.50,entertainment,Yorck Kino
2026-01-11,Pullover gekauft,-29.99,shopping,H und M
2026-01-13,Aldi Einkauf,-27.34,food_groceries,Aldi
2026-01-14,Erkaeltungsmittel,-18.45,health,Apotheke am Kollwitzplatz
2026-01-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-01-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-01-18,Einzelfahrschein,-3.80,transport,BVG
2026-01-20,Wasser Abschlag,-24.00,utilities,Berliner Wasserbetriebe
2026-01-22,Zalando Bestellung,-64.95,shopping,Zalando
2026-01-24,Bargeldabhebung,-100.00,other,Sparkasse Geldautomat
2026-01-26,Bahnticket Leipzig,-39.90,transport,Deutsche Bahn
2026-01-27,Sushi Lieferung,-31.20,food_delivery,Wolt
2026-01-28,Amazon Prime Abo,-8.99,subscriptions,Amazon Prime
2026-01-30,Gehalt,3500.00,income,Tech GmbH
2026-01-31,Notgroschen Ruecklage,-150.00,savings,Trade Republic
2026-02-01,Deutschlandticket,-49.00,transport,BVG
2026-02-02,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-02-03,Edeka Einkauf,-52.10,food_groceries,Edeka
2026-02-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-02-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-02-05,Cappuccino,-3.60,food_delivery,Bonanza Coffee Heroes
2026-02-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-02-07,Zahnarzt Kontrolle,-45.00,health,Zahnarztpraxis Dr Weber
2026-02-09,Currywurst und Pommes,-6.90,food_delivery,Konnopke Imbiss
2026-02-10,Gasabschlag,-61.00,utilities,Gasag
2026-02-11,Konzert Columbiahalle,-42.00,entertainment,Columbiahalle
2026-02-14,Valentinstag Dinner,-78.40,entertainment,Nobelhart und Schmutzig
2026-02-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-02-15,Steuererstattung 2025,412.30,income,Finanzamt Berlin
2026-02-16,Uber Fahrt,-14.80,transport,Uber
2026-02-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-02-18,Drogerieartikel,-22.15,shopping,dm drogerie markt
2026-02-19,ChatGPT Plus,-22.00,subscriptions,OpenAI
2026-02-21,Lidl Einkauf,-31.75,food_groceries,Lidl
2026-02-22,Lieferando Pizza,-26.40,food_delivery,Lieferando
2026-02-24,Spende,-20.00,other,Aerzte ohne Grenzen
2026-02-25,Physiotherapie,-30.00,health,Physiopraxis Mitte
